numb,year,description_short,description_long,count
,850,Расселение восточнославянских племен в середине IX в.,"В ходе расселения славян по Восточноевропейской равнине в VI – VIII вв., являвшего собой завершающий этап т.н. Великого переселения народов – грандиозного миграционного движения, охватившего в I тыс. н.э. Европейский континент, сложилась восточная ветвь славянства. В Восточной Европе сформировалось более десятка крупных славянских догосударственных общностей, в каждой из которых были собственные князья. ",1
,850,Расселение восточнославянских племен в середине IX в.,"В ходе расселения славян по Восточноевропейской равнине в VI – VIII вв., являвшего собой завершающий этап т.н. Великого переселения народов – грандиозного миграционного движения, охватившего в I тыс. н.э. Европейский континент, сложилась восточная ветвь славянства. В Восточной Европе сформировалось более десятка крупных славянских догосударственных общностей, в каждой из которых были собственные князья. ",1
,862,Приход Рюрика «из-за моря» на княжение к словенам в Новгород.,"В течение IX – X столетий все восточные славяне, а также ряд финноязычных народов, обитавших на Восточноевропейской равнине, были объединены под единой княжеской властью, под главенством одной династии, варяжской (скандинавской) по происхождению (т.н. династия Рюриковичей).",1
,864,Освобождение полян от хазарской дани,,1
,882,"Князь Олег захватывает Киев, убив княживших там варягов Аскольда и Дира, и делает Киев столицей Руси","Согласно «Повести временных лет», Олег в 882 г., спустившись по Днепру, хитростью захватывает Киев – центр полян, убив княживших там в тот момент варяжских предводителей Аскольда и Дира. После этого он делает Киев своей столицей. Летописец приписывает Олегу фразу в отношении Киева: «Се буди мати градом русьским». ",1
,883,Подчинение князем Олегом древлян,"После вокняжения в Киеве Олег начинает подчинение восточнославянских территориально-политических группировок (в Византии их называли славиниями). Он заставил платить дань древлян, живших к западу от Киева, северян (обитавших на Десне), и радимичей (живших на р. Сож). При этом северяне и радимичи были освобождены Олегом от дани в пользу Хазарского каганата (сильнейшего на тот момент государства Юго-Востока Восточной Европы - с центром на Нижней Волге).",1
,884,Освобождение северян от хазарской дани,"В 1595 г., с основания Обдорского острога на месте главного города Обдорского княжества, территория включена в Березовский уезд.",1
,885,Освобождение радимичей от хазарской дани,,1
,915,Уличи вытеснены печенегами со своего места,"<a href=""https://runivers.ru/bookreader/book595708/#page/58/mode/1up"" target=""_blank"">Договорная грамота 8 октября 1508</a><br />
Акты, относящиеся к истории Западной России. СПб., 1848. Т. II. 1506—1544. С. 53—56.",2
,945,Примерная дата возникновения Полоцкого княжества,"Полоцкая земля возникла в X в. на базе объединения полочан с центром в Полоцке. В конце X века Полоцкая волость была передана киевским князем Владимиром Святославичем своему сыну Изяславу и закрепилась за его потомками - Изяславичами, став в XII в. фактически независимой от Киева. ",2
,945,"Включение в Киевское государство дреговичей, волынян и уличей","В течение IX – X столетий все восточные славяне, а также ряд финноязычных народов, обитавших на Восточноевропейской равнине, были объединены под единой княжеской властью, под главенством одной династии, варяжской (скандинавской) по происхождению (т.н. династия Рюриковичей).",1
,964,Вовлечение вятичей в орбиту Русского государства после похода Святослава Игоревича на хазар,Святослав освободил вятичей от от власти хазар и подчинил их Киеву,2
,965,Хазарский поход кн. Святослава Игоревича,"В 965 г. Святослав, спустившись по Волге, разгромил центры Хазарского каганата на Нижней Волге, северном Кавказе и Нижнем Дону (по другой версии, это было сделано в результате двух походов – 965 и 969 гг.). После этого Хазария пришла в упадок и вскоре прекратила существование как государство.
",2
,978,Небольшое расширение Полоцкой земли к западу условно привязано к захвату Полоцка князем Владимиром,"Около 978 года князь Владимир Святославич совершил поход на Полоцк, убил князя Рогволода, насильно взял себе в жены его дочь Рогнеду, а после занятия Киева вклю­чил Полоцкое княжество в состав Древнерусского государства.",1
,980,Создание торговой фактории Олешье,"Олешье важное стратегическое значение, так как располагалось на пересечении сухопутных и морских путей при впадении Днепра в Чёрное море, связывавших Русь через Византию со Средиземным морем и Западной Европой и вокруг Крыма через Азовское море, Дон и Волгу с Каспийским морем и арабским миром. ",2
